timestep,v,omega,controller,solve_time_ms
149,0.2736322276548037,-0.5091468574887289,MPC,211.28239999961806
150,0.2804133387052143,-0.5063670613461715,MPC,252.49690000055125
151,0.2869374912794029,-0.5040628080545674,MPC,295.51379999975325
152,0.2930797970832764,-0.5022292310564136,MPC,246.33499999981723
153,0.2987396238485924,-0.5008620926401997,MPC,281.58219999750145
154,0.30383602802929877,-0.49995783078207695,MPC,203.82750000135275
155,0.3083040203961024,-0.49951359479884627,MPC,323.80639999973937
156,0.31209151315569394,-0.4995272725753508,MPC,251.2879999994766
157,0.31515682468428735,-0.4999975114770057,MPC,120.54319999879226
158,0.3174666404572365,-0.5009237345513734,MPC,79.3372999978601
159,0.31899434717659164,-0.502306153226808,MPC,82.58570000180043
160,0.3197186721853533,-0.5041457774044105,MPC,77.78959999996005
161,0.3196225726142533,-0.5064444235913814,MPC,79.50089999940246
162,0.31869232882961895,-0.5092047215236802,MPC,75.61410000198521
163,0.31691680504502323,-0.5124301195609511,MPC,77.27439999871422
164,0.31428684675659213,-0.5161248889976631,MPC,75.28480000109994
165,0.3107947902357378,-0.5202941273135457,MPC,87.61650000087684
166,0.30643406388533373,-0.5249437602776565,MPC,95.80769999956829
167,0.301198865019933,-0.5300805427188768,MPC,260.99690000046394
168,0.2950838987171364,-0.5357120576771355,MPC,223.102399999334
169,0.28808416792840075,-0.5418467135508817,MPC,344.7962999998708
170,0.28019480613489234,-0.5484937387541813,MPC,333.89379999789526
171,0.2714109455696733,-0.5556631732889071,MPC,339.02909999960684
172,0.26172761547022105,-0.5633658565211924,MPC,322.21779999963474
173,0.2511396660302168,-0.5716134103246981,MPC,279.8772000023746
174,0.2396417147337508,-0.580418216614335,MPC,486.6634999998496
175,0.2272281126156713,-0.5897933881411287,MPC,334.16310000029625
176,0.21389292873038487,-0.5997527312503427,MPC,462.9267999989679
177,0.19962995175373674,-0.6103106991195532,MPC,431.35370000163675
178,0.1844327082097087,-0.6214823337901809,MPC,653.8684999977704
179,0.1682944973234277,-0.6332831950847474,MPC,447.21189999836497
180,0.1512084429675641,-0.6457292742630656,MPC,388.8026999993599
